2022 07-02, 00:25, 0.87 ms , 948.94 Mbps , 948.23 Mbps ,
2022 07-02, 00:55, 0.86 ms , 947.68 Mbps , 316.67 Mbps ,
2022 07-02, 01:25, 0.82 ms , 948.04 Mbps , 881.77 Mbps ,
2022 07-02, 01:56, 0.68 ms , 947.82 Mbps , 948.51 Mbps ,
2022 07-02, 02:26, 0.89 ms , 949.07 Mbps , 907.80 Mbps ,
2022 07-02, 02:56, 0.86 ms , 949.46 Mbps , 389.28 Mbps ,
2022 07-02, 03:26, 0.82 ms , 948.09 Mbps , 933.22 Mbps ,
2022 07-02, 03:56, 0.86 ms , 952.03 Mbps , 949.00 Mbps ,
2022 07-02, 04:26, 0.72 ms , 945.50 Mbps , 948.68 Mbps ,
2022 07-02, 04:57, 0.83 ms , 948.81 Mbps , 948.71 Mbps ,
2022 07-02, 05:27, 0.92 ms , 950.05 Mbps , 948.41 Mbps ,
2022 07-02, 05:57, 0.92 ms , 948.82 Mbps , 948.70 Mbps ,
2022 07-02, 06:27, 0.80 ms , 948.21 Mbps , 947.97 Mbps ,
2022 07-02, 06:57, 0.87 ms , 947.51 Mbps , 947.65 Mbps ,
2022 07-02, 07:28, 0.83 ms , 951.76 Mbps , 948.75 Mbps ,
2022 07-02, 07:58, 0.86 ms , 951.25 Mbps , 948.74 Mbps ,
2022 07-02, 08:28, 0.97 ms , 949.30 Mbps , 929.17 Mbps ,
2022 07-02, 08:58, 0.84 ms , 948.92 Mbps , 948.66 Mbps ,
2022 07-02, 09:28, 0.87 ms , 948.90 Mbps , 948.85 Mbps ,
2022 07-02, 09:58, 0.84 ms , 947.82 Mbps , 948.49 Mbps ,
2022 07-02, 10:29, 0.89 ms , 948.05 Mbps , 947.26 Mbps ,
2022 07-02, 10:59, 0.76 ms , 946.42 Mbps , 948.45 Mbps ,
2022 07-02, 11:29, 0.89 ms , 944.89 Mbps , 881.82 Mbps ,
2022 07-02, 11:59, 0.91 ms , 949.50 Mbps , 948.53 Mbps ,
2022 07-02, 12:29, 0.91 ms , 949.89 Mbps , 419.14 Mbps ,
2022 07-02, 13:00, 0.83 ms , 949.36 Mbps , 948.63 Mbps ,
2022 07-02, 13:30, 0.91 ms , 951.61 Mbps , 948.82 Mbps ,
2022 07-02, 14:00, 0.82 ms , 947.75 Mbps , 948.36 Mbps ,
2022 07-02, 14:30, 0.89 ms , 947.41 Mbps , 948.35 Mbps ,
2022 07-02, 15:00, 0.76 ms , 950.00 Mbps , 948.74 Mbps ,
2022 07-02, 15:31, 0.89 ms , 951.73 Mbps , 949.07 Mbps ,
2022 07-02, 16:01, 0.61 ms , 948.71 Mbps , 948.85 Mbps ,
2022 07-02, 16:31, 0.82 ms , 948.31 Mbps , 946.36 Mbps ,
2022 07-02, 17:01, 0.94 ms , 950.76 Mbps , 949.19 Mbps ,
2022 07-02, 17:31, 0.90 ms , 950.84 Mbps , 946.42 Mbps ,
2022 07-02, 18:01, 0.87 ms , 948.90 Mbps , 948.72 Mbps ,
2022 07-02, 18:32, 0.73 ms , 947.20 Mbps , 948.87 Mbps ,
2022 07-02, 19:02, 0.84 ms , 950.27 Mbps , 949.11 Mbps ,
2022 07-02, 19:32, 0.86 ms , 951.58 Mbps , 949.10 Mbps ,
2022 07-02, 20:02, 0.85 ms , 947.46 Mbps , 948.52 Mbps ,
2022 07-02, 20:32, 0.85 ms , 944.04 Mbps , 947.77 Mbps ,
2022 07-02, 21:02, 0.86 ms , 946.83 Mbps , 948.68 Mbps ,
2022 07-02, 21:33, 0.93 ms , 950.10 Mbps , 948.75 Mbps ,
2022 07-02, 22:03, 0.87 ms , 949.01 Mbps , 948.83 Mbps ,
2022 07-02, 22:33, 0.85 ms , 947.05 Mbps , 946.23 Mbps ,
2022 07-02, 23:03, 0.94 ms , 943.69 Mbps , 948.74 Mbps ,
2022 07-02, 23:33, 0.56 ms , 949.02 Mbps , 948.84 Mbps ,
2022 07-02, 23:55, 0.79 ms , 951.17 Mbps , 673.57 Mbps ,
2022 07-03, 00:25, 0.91 ms , 950.51 Mbps , 936.92 Mbps ,
2022 07-03, 00:55, 0.86 ms , 949.60 Mbps , 606.32 Mbps ,
2022 07-03, 01:25, 0.85 ms , 949.45 Mbps , 60.10 Mbps ,
2022 07-03, 01:56, 0.87 ms , 950.00 Mbps , 10.73 Mbps ,
2022 07-03, 02:26, 0.97 ms , 950.03 Mbps , 450.39 Mbps ,
2022 07-03, 02:56, 0.90 ms , 948.52 Mbps , 8.16 Mbps ,
2022 07-03, 03:27, 0.79 ms , 947.31 Mbps , FAILED ,
2022 07-03, 03:57, 0.88 ms , 940.25 Mbps , FAILED ,
2022 07-03, 04:27, 0.84 ms , 947.28 Mbps , 25.24 Mbps ,
2022 07-03, 04:57, 0.62 ms , 947.27 Mbps , 0.62 Mbps ,
2022 07-03, 05:28, 0.98 ms , 947.98 Mbps , FAILED ,
2022 07-03, 05:58, 0.91 ms , 949.06 Mbps , FAILED ,
2022 07-03, 06:28, 0.80 ms , 945.87 Mbps , FAILED ,
2022 07-03, 06:59, 0.80 ms , 945.64 Mbps , FAILED ,
2022 07-03, 07:29, 0.85 ms , 945.05 Mbps , FAILED ,
2022 07-03, 07:59, 0.74 ms , 946.65 Mbps , FAILED ,
2022 07-03, 08:30, 0.86 ms , 951.25 Mbps , FAILED ,
2022 07-03, 09:00, 0.76 ms , 947.19 Mbps , FAILED ,
2022 07-03, 09:30,
2022 07-03, 10:00, 0.80 ms , 947.37 Mbps , FAILED ,
2022 07-03, 10:31, 1.02 ms , 942.02 Mbps , FAILED ,
2022 07-03, 11:01, 0.88 ms , 948.57 Mbps , 0.93 Mbps ,
2022 07-03, 11:31, 0.86 ms , 948.02 Mbps , 0.08 Mbps ,
2022 07-03, 12:02, 0.66 ms , 944.82 Mbps , FAILED ,
2022 07-03, 12:32, 0.88 ms , 948.02 Mbps , 0.94 Mbps ,
2022 07-03, 13:02, 0.84 ms , 947.81 Mbps , 298.71 Mbps ,
2022 07-03, 13:33, 0.86 ms , 947.81 Mbps , 304.28 Mbps ,
2022 07-03, 14:03, 0.87 ms , 947.66 Mbps , 217.71 Mbps ,
2022 07-03, 14:33, 0.84 ms , 949.15 Mbps , 948.87 Mbps ,
2022 07-03, 15:03, 0.92 ms , 948.79 Mbps , 948.49 Mbps ,
2022 07-03, 15:33, 0.80 ms , 950.57 Mbps , 948.86 Mbps ,
2022 07-03, 16:04, 0.82 ms , 948.77 Mbps , 948.51 Mbps ,
2022 07-03, 16:34, 0.92 ms , 951.32 Mbps , 477.58 Mbps ,
2022 07-03, 17:04, 0.90 ms , 948.04 Mbps , 122.68 Mbps ,
2022 07-03, 17:34, 0.93 ms , 947.37 Mbps , 437.62 Mbps ,
2022 07-03, 18:05, 0.88 ms , 949.06 Mbps , 13.89 Mbps ,
2022 07-03, 18:35, 0.76 ms , 949.34 Mbps , 0.24 Mbps ,
2022 07-03, 19:05, 0.91 ms , 945.17 Mbps , 0.58 Mbps ,
2022 07-03, 19:36, 0.82 ms , 947.84 Mbps , 8.06 Mbps ,
2022 07-03, 20:06, 0.61 ms , 947.03 Mbps , FAILED ,
2022 07-03, 20:36, 0.87 ms , FAILED ,
2022 07-03, 21:06, 0.83 ms , 947.90 Mbps , FAILED ,
2022 07-03, 21:37, 0.86 ms , 949.16 Mbps , 0.30 Mbps ,
2022 07-03, 22:07, 0.88 ms , 946.96 Mbps , FAILED ,
2022 07-03, 22:37, 0.79 ms , 944.89 Mbps , FAILED ,
2022 07-03, 23:08, 0.81 ms , 946.33 Mbps , FAILED ,
2022 07-03, 23:38, 0.68 ms , 953.08 Mbps , 0.54 Mbps ,
2022 07-03, 23:55, 0.85 ms , 949.54 Mbps , FAILED ,
